p0,k_wind,k_slope,burn_hours,w_grass,w_shrub,w_timber,iou,precision,recall,f1,arrival_mae_h,arrival_bias_h,n_sim,n_obs,n_overlap,n_timed,score
0.022061360054222993,0.3563312804059833,2.7068744640669276,6.52690742800459,0.31141683307775475,0.7899388120409592,1.5772504188452137,0.5968028419182948,0.8255528255528255,0.6829268292682927,0.7474972191323694,12.009176587301587,0.8192956349206357,407,492,336,336,0.5217454882476599
0.12533704065338241,0.305787154144031,1.2845537360203212,1.6940987941917003,0.6518747713894275,1.0186478582625058,0.5994351085942358,0.5615514333895447,0.7672811059907834,0.676829268292683,0.7192224622030238,10.165115115115116,-2.3237737737737727,434,492,333,333,0.49801946392007523
0.049174984635531986,0.38814651018374646,5.01318118866655,1.6225012013519784,0.3403860609772171,0.39569098206938497,1.7511712943494477,0.5456026058631922,0.7330415754923414,0.6808943089430894,0.7060063224446786,10.595273631840797,-3.27955223880597,457,492,335,335,0.47938214566418724
0.09129818619740505,0.1370099369142148,3.317389524386769,1.678845220938355,1.7378548282636421,1.3484855044314255,1.2220194839137484,0.5222437137330754,0.9152542372881356,0.5487804878048781,0.6861499364675986,12.46962962962963,4.762839506172839,295,492,270,270,0.44430852854789027
0.05234848490585355,0.21468728981131943,2.032173800524502,2.5965558556949153,0.6209241263682312,1.597799199345385,1.9176217283554802,0.5131396957123098,0.6162790697674418,0.7540650406504065,0.6782449725776964,12.954627133872416,-1.9046720575022449,602,492,371,371,0.4321732761256072
0.08946829470477491,0.3871268487985234,1.922383221583847,3.5253108056277753,0.393959696152087,0.907528359953492,0.7501722014466854,0.5121638924455826,0.5805515239477503,0.8130081300813008,0.6773920406435224,13.352541666666665,-6.5921249999999985,689,492,400,400,0.42871050702891594
0.06947871290305023,0.29648076681304175,0.8038633153740458,4.578210737505062,0.3924493560835902,0.809171233466898,0.6945367831386393,0.49466666666666664,0.589825119236884,0.7540650406504065,0.6619090098126672,12.599640610961364,-1.6602875112309066,629,492,371,371,0.41591891284815813
0.0647260856804519,0.17751668307243948,4.426785336638237,2.8021637152677434,1.5789591545370396,1.1571036274643836,1.5754521795119962,0.5042492917847026,0.624561403508772,0.7235772357723578,0.6704331450094162,14.331460674157304,0.3081460674157314,570,492,356,356,0.4146776625712194
0.06871068929061973,0.27281277875256366,0.39811682262348635,2.6890541618267116,0.4032022138232499,1.233108901311164,0.5725748124028757,0.47184466019417476,0.9135338345864662,0.49390243902439024,0.6411609498680739,9.41584362139918,4.757544581618657,266,492,243,243,0.4129956375604299
0.04428400421565393,0.16497377321967557,3.237164611570072,3.369195383081282,1.735614084588217,1.1203732645983997,1.6066669020809445,0.502835538752363,0.8778877887788779,0.540650406504065,0.6691823899371069,14.98013784461153,4.273370927318296,303,492,266,266,0.4092096772235409
0.15506659633298459,0.32841686083629,4.527438829308808,1.6845159821181017,1.0959933896790928,0.6409562012466419,0.6151379637642256,0.47876447876447875,0.5662100456621004,0.7560975609756098,0.6475195822454307,11.131586021505377,-4.055062724014335,657,492,372,372,0.40919206613007014
0.13660495696352223,0.18383788967608627,5.120418439608997,2.6375764010573852,0.39911466087141223,0.7783526164373941,0.7991093882033621,0.4966532797858099,0.5926517571884984,0.7540650406504065,0.663685152057245,14.82587601078167,0.6705300988319868,626,492,371,371,0.40399155471842446
0.13616018455401868,0.4050410751646572,2.0559017762018437,1.2728556427612427,1.14082038075657,0.5106946925494923,0.7053929543167623,0.4797047970479705,0.5485232067510548,0.7926829268292683,0.6483790523690773,13.237008547008546,-6.722991452991452,711,492,390,390,0.39697349362916706
